"","SRN","MobileNo","OwnerGroupID","AreaID","SubAreaID","DATE_COMMITTED","CLOSED_DATE","SR_TYPE","CONNECTION_TYPE","STATUS","SUB_STATUS","NotResolvedOnTime","OwnerGroupRanges","closed_day","commited_day"
"1","2e2f4d5b267a55d82ac50dd3f4a6b99fabec247b9b51384168a523e17a396795","7c7a669faf9504570a2ea644cfe2d8042516c7c3070122aff260f5c5ea913106","26","5","26",2018-09-06,2018-09-05,"C","B","X","7","0","3","Wednesday","Thursday"
"2","231e66c6186f685a0c21f670641277f264952059f1623d66b44fbe044c602b03","1055df17b161656cc2bc7a22da4668d58498eb2304a904392b4892666a380e96","26","5","26",2018-09-12,2018-09-12,"C","B","X","7","0","3","Wednesday","Wednesday"
"3","71a2a5c960cbd0435c181440c159081ba8e8187d40832069e3d6fa428555d322","a1e660669b98ce885e5c5b13f380691a2917c662e29b808cee7522bd95526183","26","5","26",2018-09-14,2018-09-13,"C","B","X","7","0","3","Thursday","Friday"
"4","991e6f74bede1d8ea8717401c60494c4a6f3b2729b55ffb19922611ea3dd84d9","056e5f311b866b6c81d1d23db537fddbc991f025a2fc1fa888f36edb387d2c3d","26","5","26",2018-09-10,2018-09-08,"C","B","X","7","0","3","Saturday","Monday"
"5","211ea8ac40c366dcf97ab56f3e3537f8955374aec9749959953c1d8c370d0d19","ba8429346c918d067d7435daab490b855a2170c2b60229b58cf3fd6e209f6891","26","5","26",2018-09-12,2018-09-12,"C","B","X","7","0","3","Wednesday","Wednesday"
"6","8a23c7feff32c24fabc1bd8437ebab80b58cddd6e29400a43f781823b1ee249e","f0c270a5bc5dc38cf1de19c663431de22d561403a0debc32940a45967a14b164","66","12","66",2018-09-10,2018-09-07,"C","B","X","7","0","6","Friday","Monday"
"7","145314270d6801effc7772503e442c874e1aab52d7d89c6ba03d9ea3a77b35c6","a397e7a63d8a99e27712130fa84e0fccdf8c2860f6a723b83e43d8f0ec6ba311","26","5","26",2018-09-04,2018-09-03,"C","B","X","7","0","3","Monday","Tuesday"
"8","51f3ff82e9327e0be7dd03ea487012854c1825e336a6b0cdf8d24dbf0f4f1470","ada1eb22a3b5aa8f19d4247e843a069868a5cd3da8d7efd535a327ee9e89aa1a","26","5","26",2018-09-21,2018-09-20,"C","B","X","7","0","3","Thursday","Friday"
"9","bf99319f55eff459f5ad47f062858c9225f7fefcb5f66e453fa674aa232b8ab3","acb2cfe52369813cf309b8b9e24fb18e05355f078db8012ce43fa9f1bd9b16a8","66","12","66",2018-09-27,2018-09-26,"C","B","X","7","0","6","Wednesday","Thursday"
"10","d7043307ac0dbbc6d948044e48160d8a385d13ae1dee6a16ae115d882d6c2fa5","a8c01ba8e5ae2e8ef53c7b0e7af27c24d29f0d643d9cd943fb98054c88582018","22","3","22",2018-09-11,2018-09-10,"A","B","X","7","0","3","Monday","Tuesday"
"11","7a44866655963ac4875bfd069db29737871b1882409f39a1ce4ba9dbb7cce9f5","8a71e056b67c3e04fcae09bbda184488b03448d0a6d6ad77daf687158da1cc52","22","3","22",2018-09-12,2018-09-11,"A","B","X","7","0","3","Tuesday","Wednesday"
"12","93fbbf390bf98befde003707458912c54ef7b3c52d48cc1b2ca0ba2477f65661","8c70ed39e1288dbeac9ce6d7abf4a80c817d077973f3b143c4b74a357159fbe2","22","3","22",2018-09-27,2018-09-18,"A","B","X","7","0","3","Tuesday","Thursday"
"13","4e7ff147022bb681589b0304551415dce4d9cc7b98fd28b9345f2e5399f7264b","abeafd89b0202911566e5082667ded12d72bce7a0e4e357c4d74ee7310dad33e","26","5","26",2018-09-07,2018-09-27,"A","B","X","8","1","3","Thursday","Friday"
"14","5f657597d295e3ea26b2061312b9134829fa0685555963f059c351e601ba55c2","f6118009cb2737cea0f9fc2c5924963a21b7f4b524d7334efda674a0cb534448","24","5","24",2018-09-21,2018-09-17,"A","B","X","7","0","3","Monday","Friday"
"15","14df8af7cee4ee1ca7a0e0d7f5f747d767ee7d9edce29fb4968a975a0e016937","18ebe73b81f0a6a2bc1db687c9c2258bffad9c826c29ec00801db4471fb42748","22","3","22",2018-09-18,2018-09-19,"A","B","X","8","1","3","Wednesday","Tuesday"
